Date,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap,btc_Open,btc_High,btc_Low,btc_Close,btc_Volume,btc_Market Cap,xrp_Open,xrp_High,xrp_Low,xrp_Close,xrp_Volume,xrp_Market Cap,xmr_Open,xmr_High,xmr_Low,xmr_Close,xmr_Volume,xmr_Market Cap,ltc_Open,ltc_High,ltc_Low,ltc_Close,ltc_Volume,ltc_Market Cap
2017-07-19,234.94,245.65,191.75,199.7,"2,328,790,000","21,939,300,000",2323.08,2397.17,2260.23,2273.43,"1,245,100,000","38,227,800,000",6.04,6.23,5.65,5.88,"14,255,500","301,935,000",36.47,37.59,34.37,35.06,"6,994,230","539,762,000",44.35,44.42,40.56,40.86,"246,377,000","2,308,550,000"
2017-07-18,195.03,267.99,182.06,234.39,"2,709,260,000","18,207,400,000",2233.52,2387.61,2164.77,2318.88,"1,512,450,000","36,749,400,000",5.77,6.29,5.51,6.02,"18,101,700","288,470,000",34.89,37.92,33.38,36.38,"9,949,120","516,217,000",42.62,45.33,41.47,44.3,"380,816,000","2,218,090,000"
2017-07-17,159.99,194.75,158.04,193.42,"1,669,500,000","14,932,700,000",1932.62,2230.49,1932.62,2228.41,"1,201,760,000","31,795,000,000",5.06,5.85,5.03,5.77,"15,013,000","253,054,000",29.47,34.98,29.46,34.83,"13,708,900","435,925,000",41.19,43.07,40.17,42.67,"355,036,000","2,142,760,000"
2017-07-16,169.57,172.01,133.72,157.36,"1,516,890,000","15,823,100,000",1991.98,2058.77,1843.03,1929.82,"1,182,870,000","32,767,600,000",5.03,5.27,4.83,5.04,"9,498,420","251,399,000",31.97,32.53,28.83,29.43,"12,434,100","472,681,000",38.92,41.97,36.38,40.91,"393,366,000","2,024,150,000"
2017-07-15,199.71,200.16,170.66,170.66,"810,452,000","18,630,200,000",2230.12,2231.14,1990.41,1998.86,"993,608,000","36,681,300,000",5.55,5.55,4.98,5.03,"11,294,200","277,400,000",35.57,35.57,31.37,32.09,"9,718,770","525,794,000",42.81,42.81,37.78,38.92,"327,332,000","2,225,560,000"
2017-07-14,209.53,211.1,187.37,199.66,"749,382,000","19,541,300,000",2360.59,2363.25,2183.22,2233.34,"882,503,000","38,823,100,000",6.27,6.29,5.42,5.54,"12,351,000","313,433,000",38.08,38.33,34.22,35.48,"9,558,140","562,680,000",46.36,46.48,40.8,42.8,"320,419,000","2,409,670,000"
2017-07-13,231.81,231.81,200.06,209.73,"828,489,000","21,613,900,000",2402.7,2425.22,2340.83,2357.9,"835,770,000","39,511,000,000",6.68,6.95,5.91,6.29,"17,824,000","334,240,000",40.43,40.74,37.2,38.23,"9,969,180","597,277,000",48.72,49.05,45.39,46.33,"229,105,000","2,531,820,000"
2017-07-12,197.15,230.77,189.59,230.77,"1,241,190,000","18,377,600,000",2332.77,2423.71,2275.14,2398.84,"1,117,410,000","38,355,900,000",5.31,6.69,5.07,6.63,"23,337,300","265,564,000",36.89,40.75,35.51,40.39,"15,785,600","544,765,000",45.26,49.07,44.07,48.75,"369,964,000","2,350,960,000"
2017-07-11,211.53,220.29,183.39,197.4,"1,440,950,000","19,712,300,000",2385.89,2413.47,2296.81,2337.79,"1,329,760,000","39,224,200,000",5.93,6.11,4.83,5.4,"20,182,900","296,309,000",40.25,40.73,35.34,37.14,"17,988,200","594,108,000",46.27,47.39,43.65,45.33,"400,045,000","2,403,210,000"
2017-07-10,243.01,243.07,196.97,215.36,"937,219,000","22,640,500,000",2525.25,2537.16,2321.13,2372.56,"1,111,200,000","41,509,000,000",6.91,6.96,5.58,6.03,"11,395,300","345,719,000",44.91,45.12,38.84,40.01,"14,633,300","662,645,000",49.91,50.53,44.74,46.58,"373,253,000","2,591,230,000"
2017-07-09,251.82,255.1,242.14,242.14,"505,118,000","23,454,700,000",2572.61,2635.49,2517.59,2518.44,"527,856,000","42,283,200,000",7.4,7.62,6.87,6.9,"10,422,500","370,072,000",46.69,47.0,44.56,44.85,"12,681,200","688,769,000",52.36,53.31,49.53,49.58,"409,244,000","2,717,950,000"
2017-07-08,245.89,273.48,236.55,251.7,"754,958,000","22,890,700,000",2520.27,2571.34,2492.31,2571.34,"733,330,000","41,417,700,000",6.79,7.63,5.91,7.45,"24,138,500","339,382,000",44.17,46.24,41.9,46.1,"15,801,900","651,286,000",46.64,52.75,44.67,52.14,"604,987,000","2,420,160,000"
2017-07-07,270.35,273.94,244.17,245.99,"687,252,000","25,160,800,000",2608.59,2916.14,2498.87,2518.66,"917,412,000","42,864,200,000",7.83,7.89,6.74,6.77,"16,409,500","391,569,000",50.11,50.65,43.84,44.25,"20,324,700","738,662,000",51.1,51.14,45.63,46.58,"553,712,000","2,650,900,000"
2017-07-06,268.86,278.48,265.51,270.55,"623,080,000","25,019,500,000",2608.1,2616.72,2581.69,2608.56,"761,957,000","42,851,400,000",7.98,8.34,7.69,7.84,"17,932,500","399,093,000",45.96,50.26,45.88,50.12,"23,168,300","677,244,000",53.2,53.2,50.12,51.13,"461,149,000","2,758,680,000"
2017-07-05,273.1,275.13,261.45,268.77,"790,256,000","25,406,900,000",2602.87,2622.65,2538.55,2601.99,"941,566,000","42,760,800,000",7.77,8.66,7.23,8.03,"29,368,100","388,453,000",45.3,46.9,44.13,45.72,"15,243,000","667,353,000",55.27,56.03,50.6,53.19,"790,609,000","2,865,630,000"
2017-07-04,282.19,287.39,273.11,273.3,"687,691,000","26,245,000,000",2561.0,2631.59,2559.35,2601.64,"985,516,000","42,067,900,000",8.22,8.49,7.77,7.78,"15,781,600","410,831,000",43.55,45.53,43.55,45.47,"14,850,800","641,305,000",46.56,55.42,46.56,55.33,"1,101,750,000","2,413,260,000"
